year,precip,et,pet,site,aridity_index,evaporation_ratio
2010,2442,345.6901013071535,1000.8423848732555,US-Wkg,0.4098453664509646,0.1415602380455174
2011,2442,262.77912928573016,961.9192735538485,US-Wkg,0.39390633642663736,0.10760816105066755
2012,2442,299.695165455093,1021.7073736220125,US-Wkg,0.418389587887802,0.12272529297915356
2013,2442,275.45325207657,980.5812461843595,US-Wkg,0.4015484218609171,0.11279821952357492
2014,2442,319.100168426591,954.4793343131361,US-Wkg,0.3908596782609075,0.13067164964233866
2015,2442,410.98238848438467,980.976571090774,US-Wkg,0.4017103075719795,0.1682974563818119
2016,2442,335.2345702149159,1024.7453192636688,US-Wkg,0.41963362787210023,0.13727869378170185
2017,2442,296.5858824064762,1011.6523451768542,US-Wkg,0.4142720496219714,0.12145204029749229
2018,2442,337.2261714970891,1027.8123192208468,US-Wkg,0.4208895656105024,0.13809425532231331
2019,2442,355.87594804557216,1054.5223718797663,US-Wkg,0.4318273431121074,0.14573134645600824
2020,2442,294.70313948602524,1051.833726597861,US-Wkg,0.4307263417681658,0.12068105630058364
2021,2442,257.1843719346758,1035.5430491811571,US-Wkg,0.42405530269498654,0.10531710562435537
2016,2442,137.70432439129073,-0.7767163631463059,US-xCP,-3.18065668774081e-4,0.05638997722821078
2017,2442,489.42250137451805,727.2394016734728,US-xCP,0.2978048327901199,0.20041871473157988
2018,2442,310.76538481276623,727.8526244299021,US-xCP,0.29805594775999267,0.1272585523393801
2019,2442,217.2141570157526,681.9735688864483,US-xCP,0.27926845572745634,0.08894928624723693
2020,2442,274.41805565554466,671.9228268262532,US-xCP,0.2751526727380234,0.11237430616525171
2021,2442,320.23279172919376,680.2867355464963,US-xCP,0.27857769678398703,0.1311354593485642
